id,title,difficulty,freq,listName,tags
791,"=HYPERLINK(""https://leetcode.com/problems/custom-sort-string/"",""Custom Sort String"")",Medium,29.709874803873575,fb,|Hash Table|String|Sorting|
827,"=HYPERLINK(""https://leetcode.com/problems/making-a-large-island/"",""Making A Large Island"")",Hard,59.175957488885935,fb,|Array|Depth-First Search|Breadth-First Search|Union Find|Matrix|
921,"=HYPERLINK(""https://leetcode.com/problems/minimum-add-to-make-parentheses-valid/"",""Minimum Add to Make Parentheses Valid"")",Medium,45.68276140778343,fb,|String|Stack|Greedy|
938,"=HYPERLINK(""https://leetcode.com/problems/range-sum-of-bst/"",""Range Sum of BST"")",Easy,60.424008008657594,fb,|Tree|Depth-First Search|Binary Search Tree|Binary Tree|
953,"=HYPERLINK(""https://leetcode.com/problems/verifying-an-alien-dictionary/"",""Verifying an Alien Dictionary"")",Easy,61.248200211663104,fb,|Array|Hash Table|String|
973,"=HYPERLINK(""https://leetcode.com/problems/k-closest-points-to-origin/"",""K Closest Points to Origin"")",Medium,83.08094015943625,fb,|Array|Math|Divide and Conquer|Geometry|Sorting|Heap (Priority Queue)|Quickselect|
987,"=HYPERLINK(""https://leetcode.com/problems/vertical-order-traversal-of-a-binary-tree/"",""Vertical Order Traversal of a Binary Tree"")",Hard,63.84125767707928,fb,|Hash Table|Tree|Depth-First Search|Breadth-First Search|Binary Tree|
1047,"=HYPERLINK(""https://leetcode.com/problems/remove-all-adjacent-duplicates-in-string/"",""Remove All Adjacent Duplicates In String"")",Easy,56.47927181407427,fb,|String|Stack|
1249,"=HYPERLINK(""https://leetcode.com/problems/minimum-remove-to-make-valid-parentheses/"",""Minimum Remove to Make Valid Parentheses"")",Medium,86.96481260249632,fb,|String|Stack|
1263,"=HYPERLINK(""https://leetcode.com/problems/minimum-moves-to-move-a-box-to-their-target-location/"",""Minimum Moves to Move a Box to Their Target Location"")",Hard,38.955557054961126,fb,|Array|Breadth-First Search|Heap (Priority Queue)|Matrix|
1428,"=HYPERLINK(""https://leetcode.com/problems/leftmost-column-with-at-least-a-one/"",""Leftmost Column with at Least a One"")",Medium,35.32123551131421,fb,|Array|Binary Search|Matrix|Interactive|
1570,"=HYPERLINK(""https://leetcode.com/problems/dot-product-of-two-sparse-vectors/"",""Dot Product of Two Sparse Vectors"")",Medium,65.44480309551537,fb,|Array|Hash Table|Two Pointers|Design|
1650,"=HYPERLINK(""https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree-iii/"",""Lowest Common Ancestor of a Binary Tree III"")",Medium,60.93693145226696,fb,|Hash Table|Tree|Binary Tree|
1762,"=HYPERLINK(""https://leetcode.com/problems/buildings-with-an-ocean-view/"",""Buildings With an Ocean View"")",Medium,57.03368043249111,fb,|Array|Stack|Monotonic Stack|
